Original_Relation,Mapped_ID
concept:agentcompeteswithagent,0
concept:superpartof,1
concept:inverseofagriculturalproductcookedwithagricultureproduct,2
concept:mutualproxyfor,3
concept:journalistwritesforpublication,4
concept:proxyof,5
concept:companyalsoknownas,6
concept:subpartof,7
concept:citysportsteams,8
concept:clothingtogowithclothing,9
concept:dateof,10
concept:competeswith,11
concept:inverseofanimalfeedoninsect,12
concept:locationcontainslocation,13
concept:locatedat,14
concept:controlledbyagent,15
concept:personhiredbyorganization,16
concept:citylocatedincountry,17
concept:agentcollaborateswithagent,18
concept:animaltypehasanimal,19
concept:inverseofpersongraduatedfromuniversity,20
concept:superpartoforganization,21
concept:teamhomestadium,22
concept:agentbelongstoorganization,23
concept:geopoliticallocationcontainscountry,24
concept:worker,25
concept:agentcontrols,26
concept:subpartoforganization,27
concept:citylocatedingeopoliticallocation,28
concept:countryoforganizationheadquarters,29
concept:locationlocatedwithinlocation,30
concept:personbelongstoorganization,31
concept:worksfor,32
concept:hasofficeincity,33
concept:proxyfor,34
concept:teamplaysagainstteam,35
concept:leagueteams,36
concept:organizationhasagent,37
concept:cityattractions,38
concept:synonymfor,39
concept:agentcreated,40
concept:atdate,41
concept:personleadsorganization,42
concept:animalpreyson,43
concept:cityhascompanyoffice,44
concept:countrycapital,45
concept:cityoforganizationheadquarters,46
concept:atlocation,47
concept:citylocatedinstate,48
concept:musicianplaysinstrument,49
concept:teamalsoknownas,50
concept:inverseofarthropodandotherarthropod,51
concept:organizationheadquarteredincity,52
concept:citycontainsbuilding,53
concept:personhascitizenship,54
concept:locationactedinbyagent,55
concept:organizationhastopmember,56
concept:televisioncompanyaffiliate,57
concept:citytelevisionstation,58
concept:organizationhasperson,59
concept:organizationleadbyperson,60
concept:persondiedincountry,61
concept:statelocatedingeopoliticallocation,62
concept:coachworksincountry,63
concept:televisionstationaffiliatedwith,64
concept:stateorprovinceisborderedbystateorprovince,65
concept:stadiumhometoleague,66
concept:organizationhiredperson,67
concept:teamplaysinleague,68
concept:inverseofanimaleatvegetable,69
concept:animalpredators,70
concept:specializationof,71
concept:hasofficeincountry,72
concept:stadiumhometeam,73
concept:agentactsinlocation,74
concept:companyceo,75
concept:languageofcountry,76
concept:countryalsoknownas,77
concept:teamplayssport,78
concept:acquiredby,79
concept:televisionstationincity,80
concept:animalistypeofanimal,81
concept:countryhascitizen,82
concept:organizationterminatedperson,83
concept:arthropodandotherarthropod,84
concept:inverseofarthropodcalledarthropod,85
concept:countrycities,86
concept:personterminatedbyorganization,87
concept:persongraduatedschool,88
concept:countrylocatedingeopoliticallocation,89
concept:createdbyagent,90
concept:inverseofautomobilemakerdealersincity,91
concept:personwrittenaboutinpublication,92
concept:ceoof,93
concept:locationofpersonbirth,94
concept:countrylanguage,95
concept:professiontypehasprofession,96
concept:eventhasparticipantagent,97
concept:countryhascompanyoffice,98
concept:organizationalsoknownas,99
concept:citycapitalofstate,100
concept:animalthatfeedoninsect,101
concept:officeheldbypolitician,102
concept:animalsuchasinsect,103
concept:riverflowsthroughcity,104
concept:hotelincity,105
concept:statecontainscity,106
concept:animalsuchasinvertebrate,107
concept:generalizationof,108
concept:cityalsoknownas,109
concept:organizationheadquarteredinstateorprovince,110
concept:parentofperson,111
concept:inverseofcountriessuchascountries,112
concept:animaleatfood,113
concept:teamplaysincity,114
concept:inverseofathleteledsportsteam,115
concept:athleteplaysinleague,116
concept:bodypartwithinbodypart,117
concept:sportfansincountry,118
concept:sportschoolincountry,119
concept:citycapitalofcountry,120
concept:arthropodthatfeedoninsect,121
concept:leaguestadiums,122
concept:geopoliticallocationcontainscity,123
concept:schoolgraduatedperson,124
concept:citystadiums,125
concept:organizationdissolvedatdate,126
concept:headquarteredin,127
concept:politicianrepresentslocation,128
concept:stateorprovinceoforganizationheadquarters,129
concept:personleadsgeopoliticalorganization,130
concept:inverseoflanguegeschoolincity,131
concept:agentparticipatedinevent,132
concept:hospitalincity,133
concept:schoolattendedbyperson,134
concept:statelocatedincountry,135
concept:stadiumlocatedincity,136
concept:personleadscity,137
concept:dateoforganzationdissolution,138
concept:topmemberoforganization,139
concept:geopoliticallocationcontainsstate,140
concept:inverseofvegetableproductioninstateorprovince,141
concept:organizationheadquarteredincountry,142
concept:languageofuniversity,143
concept:buildinglocatedincity,144
concept:universityhasacademicprogram,145
concept:politicianusendorsespoliticianus,146
concept:inverseofanimalsuchasinvertebrate,147
concept:inverseofcoachworksincountry,148
concept:teammember,149
concept:companiesheadquarteredhere,150
concept:coachesteam,151
concept:politicianusholdsoffice,152
concept:acquired,153
concept:inverseofanimalsuchasinsect,154
concept:personmovedtostateorprovince,155
concept:animaleatvegetable,156
concept:persongraduatedfromuniversity,157
concept:inverseofclothingmadefromplant,158
concept:teamcoach,159
concept:automobilemakerdealersincity,160
concept:hasfamilymember,161
concept:inverseofsportschoolincountry,162
concept:cityhotels,163
concept:bankbankincountry,164
concept:athleteplaysforteam,165
concept:inverseofanimaleatfood,166
concept:languageofcity,167
concept:personhasresidenceingeopoliticallocation,168
concept:personattendsschool,169
concept:countrycurrency,170
concept:athleteplayssport,171
concept:chemicaltypehaschemical,172
